"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"NHL 10","X360","Sports",0.66,88,52,83,71,"E10+"
"NHL 13","X360","Sports",0.66,83,44,65,86,"E10+"
"Rayman Legends","WiiU","Platform",0.66,92,35,86,465,"E10+"
"LEGO Jurassic World","XOne","Action",0.65,70,17,66,44,"E10+"
"Kung Fu Panda","PS2","Action",0.65,73,6,85,5,"E10+"
"Disney's Chicken Little","PS2","Platform",0.65,60,20,88,7,"E10+"
"Wario: Master of Disguise","DS","Platform",0.65,60,35,73,19,"E10+"
"Harry Potter and the Goblet of Fire","PS2","Action",0.65,68,29,66,48,"E10+"
"The LEGO Movie Videogame","WiiU","Action",0.64,68,5,76,25,"E10+"
"Real Heroes: Firefighter","Wii","Action",0.64,67,18,81,10,"E10+"
"NHL 13","PS3","Sports",0.64,84,22,67,60,"E10+"
"LEGO Star Wars II: The Original Trilogy","X360","Action",0.63,81,50,79,45,"E10+"
"NHL 16","PS4","Sports",0.63,78,28,54,157,"E10+"
"Just Dance 3","PS3","Misc",0.62,75,5,59,7,"E10+"
"LEGO Pirates of the Caribbean: The Video Game","3DS","Action",0.62,71,16,72,20,"E10+"
"Scribblenauts: Unlimited","3DS","Action",0.61,73,13,73,21,"E10+"
"Fire Emblem: Shadow Dragon","DS","Role-Playing",0.61,81,42,69,106,"E10+"
"Plants vs. Zombies: Garden Warfare","PS4","Shooter",0.61,75,23,75,259,"E10+"
"Disney Universe","PS3","Action",0.61,70,29,68,13,"E10+"
"Advance Wars: Days of Ruin","DS","Strategy",0.61,86,55,86,96,"E10+"
"Jak and Daxter: The Lost Frontier","PSP","Platform",0.61,71,47,62,28,"E10+"
"Tony Hawk: RIDE","X360","Sports",0.61,46,43,29,67,"E10+"
"Final Fantasy IV Advance","GBA","Role-Playing",0.61,85,30,72,70,"E10+"
"Pac-Man Party","Wii","Misc",0.61,59,14,58,8,"E10+"
"Shadow The Hedgehog","PS2","Platform",0.6,45,28,59,137,"E10+"
"Kinect Sports Rivals","XOne","Sports",0.6,60,53,50,144,"E10+"
"Disney Infinity","WiiU","Action",0.6,71,10,75,58,"E10+"
"Secret Agent Clank","PS2","Platform",0.6,61,9,66,14,"E10+"
"Split/Second","X360","Racing",0.6,82,78,80,101,"E10+"
"The Golden Compass","DS","Action",0.6,43,7,48,8,"E10+"
"The Golden Compass","Wii","Action",0.6,35,12,67,6,"E10+"
"LEGO The Hobbit","PS4","Action",0.6,72,47,65,88,"E10+"
"Just Dance 2014","WiiU","Misc",0.6,72,13,75,45,"E10+"
"NHL 15","PS4","Sports",0.6,60,28,35,306,"E10+"
"Tony Hawk: RIDE","PS3","Sports",0.59,44,29,20,31,"E10+"
"NHL 11","PS3","Sports",0.59,88,38,70,54,"E10+"
"Blur","X360","Racing",0.59,82,78,82,169,"E10+"
"Final Fantasy Anniversary Edition","PSP","Role-Playing",0.58,67,34,76,47,"E10+"
"Romancing SaGa","PS2","Role-Playing",0.58,58,23,79,35,"E10+"
"Skylanders SWAP Force","WiiU","Platform",0.58,89,7,59,96,"E10+"
"NHL 12","PS3","Sports",0.58,86,33,74,52,"E10+"
"Final Fantasy: The 4 Heroes of Light","DS","Role-Playing",0.58,71,49,70,38,"E10+"
"Rayman Legends","PS3","Platform",0.58,91,23,86,310,"E10+"
"NHL 06","PS2","Sports",0.58,78,27,84,29,"E10+"
"Phineas and Ferb: Across the 2nd Dimension","Wii","Action",0.57,76,4,82,6,"E10+"
"Skylanders: Spyro's Adventure","3DS","Action",0.57,82,8,48,62,"E10+"
"NHL 10","PS3","Sports",0.57,88,35,78,40,"E10+"
"Just Dance 2016","WiiU","Misc",0.57,73,7,68,11,"E10+"
"Disney Universe","X360","Action",0.57,66,31,52,13,"E10+"
"Rune Factory 4","3DS","Role-Playing",0.57,78,33,80,122,"E10+"
"3D Dot Game Heroes","PS3","Role-Playing",0.57,77,66,79,96,"E10+"
"Up","Wii","Action",0.56,62,6,79,4,"E10+"
"Arena Football","PS2","Sports",0.56,66,18,85,14,"E10+"
"The Legend of Spyro: Dawn of the Dragon","Wii","Platform",0.56,64,11,64,19,"E10+"
